Match_ID,Date,Time,Team1,Team2,Venue
1,2025-08-05,11:00 PM,London Spirit,Oval Invincibles,"Lord's, London"
2,2025-08-06,11:00 PM,Manchester Originals,Southern Brave,"Emirates Old Trafford, Manchester"
3,2025-08-07,11:00 PM,Northern Superchargers,Welsh Fire,"Headingley, Leeds"
4,2025-08-08,11:00 PM,Birmingham Phoenix,Trent Rockets,"Edgbaston, Birmingham"
5,2025-08-09,7:00 PM,Oval Invincibles,Manchester Originals,"Kennington Oval, London"
6,2025-08-09,10:30 PM,Welsh Fire,London Spirit,"Sophia Gardens, Cardiff"
7,2025-08-10,7:00 PM,Southern Brave,Birmingham Phoenix,"The Rose Bowl, Southampton"
8,2025-08-10,10:30 PM,Trent Rockets,Northern Superchargers,"Trent Bridge, Nottingham"
9,2025-08-11,11:00 PM,Manchester Originals,London Spirit,"Emirates Old Trafford, Manchester"
10,2025-08-12,11:00 PM,Birmingham Phoenix,Oval Invincibles,"Edgbaston, Birmingham"
11,2025-08-13,7:30 PM,Southern Brave,Northern Superchargers,"The Rose Bowl, Southampton"
12,2025-08-13,11:00 PM,Welsh Fire,Manchester Originals,"Sophia Gardens, Cardiff"
13,2025-08-14,11:00 PM,London Spirit,Trent Rockets,"Lord's, London"
14,2025-08-15,11:00 PM,Northern Superchargers,Birmingham Phoenix,"Headingley, Leeds"
15,2025-08-16,7:00 PM,Trent Rockets,Southern Brave,"Trent Bridge, Nottingham"
16,2025-08-16,10:30 PM,Oval Invincibles,Welsh Fire,"Kennington Oval, London"
17,2025-08-17,7:00 PM,Manchester Originals,Northern Superchargers,"Emirates Old Trafford, Manchester"
18,2025-08-17,10:30 PM,Birmingham Phoenix,London Spirit,"Edgbaston, Birmingham"
19,2025-08-18,11:00 PM,Southern Brave,Oval Invincibles,"The Rose Bowl, Southampton"
20,2025-08-19,11:00 PM,Trent Rockets,Manchester Originals,"Trent Bridge, Nottingham"
21,2025-08-20,7:30 PM,Welsh Fire,Southern Brave,"Sophia Gardens, Cardiff"
22,2025-08-20,11:00 PM,London Spirit,Northern Superchargers,"Lord's, London"
23,2025-08-21,11:00 PM,Oval Invincibles,Trent Rockets,"Kennington Oval, London"
24,2025-08-22,11:00 PM,Birmingham Phoenix,Welsh Fire,"Edgbaston, Birmingham"
25,2025-08-23,7:00 PM,Northern Superchargers,Oval Invincibles,"Headingley, Leeds"
26,2025-08-23,10:30 PM,London Spirit,Southern Brave,"Lord's, London"
27,2025-08-24,7:00 PM,Welsh Fire,Trent Rockets,"Sophia Gardens, Cardiff"
28,2025-08-24,10:30 PM,Manchester Originals,Birmingham Phoenix,"Emirates Old Trafford, Manchester"
29,2025-08-25,11:00 PM,Oval Invincibles,London Spirit,"Kennington Oval, London"
30,2025-08-26,11:00 PM,Northern Superchargers,Manchester Originals,"Headingley, Leeds"
31,2025-08-27,11:00 PM,Trent Rockets,Birmingham Phoenix,"Trent Bridge, Nottingham"
32,2025-08-28,11:00 PM,Southern Brave,Welsh Fire,"The Rose Bowl, Southampton"
