Team,Player,Role
Oval Invincibles,Sam Billings,Batter
Oval Invincibles,Sam Curran,Bowler
Oval Invincibles,Tom Curran,Bowler
Oval Invincibles,Will Jacks,Batter
Oval Invincibles,Rashid Khan,Bowler
Oval Invincibles,Jordan Cox,Batter
Oval Invincibles,Saqib Mahmood,Bowler
Oval Invincibles,Jason Behrendorff,Bowler
Oval Invincibles,Gus Atkinson,Bowler
Oval Invincibles,Donovan Ferreira,All-rounder
Oval Invincibles,Nathan Sowter,All-rounder
Oval Invincibles,Tawanda Muyeye,All-rounder
Oval Invincibles,Miles Hammond,All-rounder
Oval Invincibles,George Scrimshaw,All-rounder
Oval Invincibles,Zafar Gohar,All-rounder
Birmingham Phoenix,Liam Livingstone,Batter
Birmingham Phoenix,Ben Duckett,Batter
Birmingham Phoenix,Trent Boult,Bowler
Birmingham Phoenix,Joe Clarke,Batter
Birmingham Phoenix,Jacob Bethell,Batter
Birmingham Phoenix,Adam Milne,Bowler
Birmingham Phoenix,Benny Howell,All-rounder
Birmingham Phoenix,Tim Southee,Bowler
Birmingham Phoenix,Dan Mousley,All-rounder
Birmingham Phoenix,Will Smeed,Batter
Birmingham Phoenix,Chris Wood,All-rounder
Birmingham Phoenix,Harry Moore,All-rounder
Birmingham Phoenix,Tom Helm,All-rounder
Birmingham Phoenix,Aneurin Donald,All-rounder
Birmingham Phoenix,Liam Patterson-White,All-rounder
Birmingham Phoenix,Louis Kimber,All-rounder
London Spirit,Kane Williamson,Batter
London Spirit,Jamie Smith,Batter
London Spirit,Jamie Overton,Bowler
London Spirit,Liam Dawson,Bowler
London Spirit,David Warner,Batter
London Spirit,Daniel Worrall,Bowler
London Spirit,Richard Gleeson,Bowler
London Spirit,Luke Wood,Bowler
London Spirit,Olly Stone,Bowler
London Spirit,Ashton Turner,All-rounder
London Spirit,Ollie Pope,Batter
London Spirit,Jafer Chohan,All-rounder
London Spirit,Keaton Jennings,Batter
London Spirit,Wayne Madsen,Batter
London Spirit,Sean Dickson,All-rounder
London Spirit,Ryan Higgins,All-rounder
Manchester Originals,Jos Buttler,Batter
Manchester Originals,Noor Ahmad,Bowler
Manchester Originals,Phil Salt,Batter
Manchester Originals,Rachin Ravindra,Batter
Manchester Originals,Lewis Gregory,Bowler
Manchester Originals,Ben McKinney,Batter
Manchester Originals,Heinrich Klaasen,Batter
Manchester Originals,George Garton,Bowler
Manchester Originals,Matthew Hurst,All-rounder
Manchester Originals,Josh Tongue,Bowler
Manchester Originals,Scott Currie,All-rounder
Manchester Originals,Tom Hartley,Bowler
Manchester Originals,Sonny Baker,All-rounder
Manchester Originals,Tom Aspinwall,All-rounder
Manchester Originals,James Anderson,Bowler
Manchester Originals,Marchant de Lange,Bowler
Southern Brave,Jofra Archer,Bowler
Southern Brave,Michael Bracewell,All-rounder
Southern Brave,James Vince,Batter
Southern Brave,Chris Jordan,Bowler
Southern Brave,Tymal Mills,Bowler
Southern Brave,Leus Du Plooy,Batter
Southern Brave,Laurie Evans,Batter
Southern Brave,Craig Overton,Bowler
Southern Brave,Reece Topley,Bowler
Southern Brave,Finn Allen,Batter
Southern Brave,Jordan Thompson,All-rounder
Southern Brave,Danny Briggs,Bowler
Southern Brave,James Coles,All-rounder
Southern Brave,Jason Roy,Batter
Southern Brave,Tory Albert,All-rounder
Southern Brave,Hilton Cartwright,All-rounder
Northern Superchargers,Harry Brook,Batter
Northern Superchargers,David Miller,Batter
Northern Superchargers,Adil Rashid,Bowler
Northern Superchargers,Zak Crawley,Batter
Northern Superchargers,Mitchell Santner,Bowler
Northern Superchargers,Dan Lawrence,Batter
Northern Superchargers,Brydon Carse,Bowler
Northern Superchargers,Ben Dwarshuis,Bowler
Northern Superchargers,Matthew Potts,Bowler
Northern Superchargers,Michael Pepper,Batter
Northern Superchargers,Dawid Malan,Batter
Northern Superchargers,Pat Brown,Bowler
Northern Superchargers,Graham Clark,All-rounder
Northern Superchargers,Tom Lawes,All-rounder
Northern Superchargers,James Fuller,All-rounder
Northern Superchargers,Rocky Flintoff,All-rounder
Trent Rockets,Joe Root,Batter
Trent Rockets,David Willey,Bowler
Trent Rockets,Marcus Stoinis,Batter
Trent Rockets,Lockie Ferguson,Bowler
Trent Rockets,Tom Banton,Batter
Trent Rockets,Max Holden,Batter
Trent Rockets,George Linde,Bowler
Trent Rockets,Sam Cook,Bowler
Trent Rockets,John Turner,Bowler
Trent Rockets,Adam Hose,All-rounder
Trent Rockets,Rehan Ahmed,Bowler
Trent Rockets,Sam Hain,All-rounder
Trent Rockets,Tom Alsop,All-rounder
Trent Rockets,Calvin Harrison,All-rounder
Trent Rockets,Callum Parkinson,Bowler
Trent Rockets,Ben Sanderson,Bowler
Welsh Fire,Tom Abell,All-rounder
Welsh Fire,Chris Woakes,Bowler
Welsh Fire,Jonny Bairstow,Batter
Welsh Fire,Steve Smith,Batter
Welsh Fire,David Payne,Bowler
Welsh Fire,Tom Kohler-Cadmore,Batter
Welsh Fire,Paul Walter,All-rounder
Welsh Fire,Riley Meredith,Bowler
Welsh Fire,Chris Green,Bowler
Welsh Fire,Saif Zaib,All-rounder
Welsh Fire,Luke Wells,Batter
Welsh Fire,Stephen Eskinazi,Batter
Welsh Fire,Josh Hull,Bowler
Welsh Fire,Mason Crane,Bowler
Welsh Fire,Ajeet Singh Dale,All-rounder
Welsh Fire,Ben Kellaway,All-rounder
